HTTP/1.1 200 OK
Date: Fri, 25 Nov 2011 17:47:15 GMT
Server: Apache/2.2.3 (Red Hat) PHP/4.4.9
X-Powered-By: PHP/4.4.9
Cache-Control: must-revalidate
Content-Disposition: attachment; filename=awMerchantMetadata.csv
P3P: policyref="http://www.affiliatewindow.com/w3c/p3p.xml", CP="CAO CURa ADMa DEVa TAIa CONi TELi OUR IND PHY ONL UNI COM NAV"
Vary: Accept-Encoding
Transfer-Encoding: chunked
Content-Type: application/csv

Merchant ID,Merchant Name,Logo,Active,Merchant Metadata Version,Strapline,Description,Default Clickthrough,Merchant Category,Product Feed Enabled,Datafeed Version,Product Feed Last Refreshed,Product Feed Last Modified,Product Feed No. Products,Display URL
"1296","Simply Hike","https://www.affiliatewindow.com/logos/1296/logo.gif","yes","5","For the best camping equipment online.","Camping equipment for the backpacker or hill walker to family camping, Simply Hike has a huge variety of camping gear to suit all budgets.   Simply Hike offers camping equipment and outdoor clothing from leading brands such as Berghaus, Craghoppers, Mountain Equipment, Vango, Coleman, Suunto to name a few. We offer tents, rucksacks, walking boots, waterproofs, performance clothing, camping stoves. We cater for family campers to lightweight expedition equipment.","http://www.awin1.com/awclick.php?mid=1296&id=34475","Sports","yes","1122","2011-11-24 21:26:06","2011-11-24 21:32:11","2600","http://www.simplyhike.co.uk"
"1297","Simply Piste","https://www.affiliatewindow.com/logos/1297/logo.gif","yes","1","The one stop Skiwear Store for the whole family!","Simply Piste is a one stop skiwear store for the entire family. With a large range of skiwear at all price points we cater for skiers of all abilities from the first school ski trip to the most seasoned and demanding skier. With a range of accessories to compliment the large skiwear range too.","http://www.awin1.com/awclick.php?mid=1297&id=34475","Sports","yes","650","2011-11-25 09:14:06","2011-11-25 09:55:15","1622","http://www.simplypiste.com"
"2392","Reebok","https://www.affiliatewindow.com/logos/2392/logo.gif","yes","4","Reebok - Your Move","Reebok is an American-inspired, global brand that creates and markets sports and lifestyle products built upon a strong heritage and authenticity in sports, fitness and women&#8217;s categories.","http://www.awin1.com/awclick.php?mid=2392&id=34475","Sports","yes","661","2011-11-25 12:32:06","2011-11-25 12:38:11","444","http://www.reebok.com/GB"
"1074","Sportsshoes.com","https://www.affiliatewindow.com/logos/1074/logo.gif","yes","4","If you&#39;re serious about sports!","SportsShoes.com specializes in selling top-quality brand-name sports footwear, clothing, accessories and equipment a low prices! Whether it&#8217;s running, football, gym, walking, golf or leisure.","http://www.awin1.com/awclick.php?mid=1074&id=34475","Sports","yes","746","2011-11-18 20:55:06","2011-11-18 21:01:11","2873","http://www.sportsshoes.com"
"1608","Freestylextreme","https://www.affiliatewindow.com/logos/1608/logo.gif","yes","2","Europes number 1 extreme sports online retailer","FreestyleXtreme is Europe&#39;s number one online retailer of extreme sports orientated casual wear and apparel featuring the best brands from all extreme sports.","http://www.awin1.com/awclick.php?mid=1608&id=34475","Clothing & Accessories","yes","770","2011-11-24 22:25:06","2011-11-23 22:30:15","7413","http://www.freestylextreme.com/"
"2698","Chain Reaction Cycles","https://www.affiliatewindow.com/logos/2698/logo.gif","yes","4","The World&#39;s Largest Online BikeStore","Mountain Bikes, BMX Bikes and Road Bikes are all available at Chain Reaction Cycles. The worlds largest online bike store offers a massive range of bike parts and accessories from all the top brands.   FREE DELIVERY on all orders to the UK, Ireland, France and Spain","http://www.awin1.com/awclick.php?mid=2698&id=34475","Sports","yes","562","2011-11-25 08:00:07","2011-11-25 08:10:15","22952","http://www.chainreactioncycles.com/"
"2828","Hargroves Cycles","https://www.affiliatewindow.com/logos/2828/logo.gif","yes","6","Hargroves Cycles - Onlilne Cycles and cycling accessories","Hargroves Cycles - The UKs fastest growing Online Cycle retailer featuring the UK&#39;s best bike brands and best accessory brands.","http://www.awin1.com/awclick.php?mid=2828&id=34475","Sports","yes","30","2011-11-16 11:44:08","2011-11-16 11:50:11","2408","http://www.hargrovescycles.co.uk"
"3395","Rutland Cycling","https://www.affiliatewindow.com/logos/3395/logo.gif","yes","3","For all your cycling needs - Independent Bike retailer 2010","Established over 25 years ago, Rutland Cycling began life as a small family operated hire centre located at Whitwell on the north shore of Rutland Water.","http://www.awin1.com/awclick.php?mid=3395&id=34475","Sports","yes","78","2011-11-25 13:54:06","2011-11-25 14:02:15","5798","http://www.rutlandcycling.com/"
"3361","Merlin Cycles","https://www.affiliatewindow.com/logos/3361/logo.gif","yes","3","Merlin Cycles Online Bike Shop","Merlin Cycles are one the UK&#39;s longest established Online Bike Shop&nbsp;and mail order specialist. Established in 1992 Merlin quickly became one of the best known sources for all the top quality mountain bike, and more recently road bike equipment.","http://www.awin1.com/awclick.php?mid=3361&id=34475","Sports","yes","58","2011-11-22 12:40:06","2011-11-22 12:46:11","2170","http://www.merlincycles.co.uk/"
"3462","Cyclestore","https://www.affiliatewindow.com/logos/3462/logo.gif","yes","5","One of Europe&#39;s leading online cycle retailers","Bikes, Mountain and Road bikes and Accessories from the cyclestore range. All the best Cycling brands including Specialized, Altura, Giant, Shimano, Oakley, Endura, Mavic, Topeak, Tortec, Pearl Izumi Cateye, Abus and many more","http://www.awin1.com/awclick.php?mid=3462&id=34475","Vehicles, Parts and Accessories","yes","170","2011-11-24 20:01:06","2011-11-20 19:59:16","8631","http://www.cyclestore.co.uk"
